GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,EVENTMSGTYPE,VIDEO_AVAILABLE_FLAG,DESCRIPTION
0022401100,39,1,PT08M36.00S,1,1,Curry 2' Reverse Layup (2 PTS) (Green 3 AST)
0022401100,52,1,PT07M43.00S,1,1,Curry 25' 3PT Pullup Jump Shot (5 PTS)
0022401100,54,1,PT07M10.00S,1,1,Curry 24' 3PT Jump Shot (8 PTS) (Green 4 AST)
0022401100,77,1,PT05M48.00S,1,1,Curry 27' 3PT Step Back Jump Shot (11 PTS)
0022401100,99,1,PT04M04.00S,1,1,Curry 24' 3PT Step Back Jump Shot (14 PTS)
0022401100,107,1,PT03M32.00S,2,1,MISS Curry 24' 3PT Running Pull-Up Jump Shot
0022401100,113,1,PT03M09.00S,1,1,Curry 4' Jump Shot (16 PTS)
0022401100,158,1,PT00M11.20S,1,1,Curry 27' 3PT Pullup Jump Shot (19 PTS) (Green 5 AST)
0022401100,234,2,PT07M22.00S,2,1,MISS Curry 13' Fadeaway Jumper
0022401100,242,2,PT06M57.00S,2,1,MISS Curry 26' 3PT Pullup Jump Shot
0022401100,275,2,PT05M24.00S,1,1,Curry 32' 3PT Pullup Jump Shot (22 PTS)
0022401100,282,2,PT04M46.00S,1,1,Curry 16' Pullup Jump Shot (24 PTS)
0022401100,300,2,PT03M52.00S,2,1,MISS Curry 15' Floating Jump Shot
0022401100,312,2,PT02M54.00S,2,1,MISS Curry 15' Jump Shot
0022401100,324,2,PT01M40.00S,1,1,Curry 3PT Jump Shot (29 PTS)
0022401100,337,2,PT00M31.40S,1,1,Curry 30' 3PT Jump Shot (32 PTS) (Butler III 4 AST)
0022401100,369,3,PT11M01.00S,2,1,MISS Curry 26' 3PT Jump Shot
0022401100,376,3,PT10M21.00S,1,1,Curry 26' 3PT Jump Shot (35 PTS) (Green 7 AST)
0022401100,397,3,PT09M10.00S,1,1,Curry 3PT Pullup Jump Shot (38 PTS) (Green 8 AST)
0022401100,449,3,PT05M27.00S,2,1,MISS Curry 32' 3PT Pullup Jump Shot
0022401100,453,3,PT05M13.00S,1,1,Curry 28' 3PT Running Pull-Up Jump Shot (43 PTS)
0022401100,457,3,PT04M42.00S,2,1,MISS Curry 10' Driving Floating Jump Shot
0022401100,461,3,PT04M07.00S,2,1,MISS Curry 6' Cutting Finger Roll Layup Shot
0022401100,621,4,PT07M19.00S,2,1,MISS Curry 26' 3PT Running Pull-Up Jump Shot
0022401100,625,4,PT06M50.00S,2,1,MISS Curry 25' 3PT Step Back Jump Shot
0022401100,644,4,PT05M40.00S,1,1,Curry 3' Driving Finger Roll Layup (47 PTS)
0022401100,654,4,PT04M36.00S,2,1,MISS Curry 25' 3PT Step Back Jump Shot
0022401100,664,4,PT03M55.00S,2,1,MISS Curry 5' Driving Floating Jump Shot
0022401100,675,4,PT03M53.00S,2,1,MISS Curry 6' Floating Jump Shot
0022401100,685,4,PT02M55.00S,1,1,Curry 3PT Jump Shot (50 PTS) (Green 11 AST)
0022401100,706,4,PT01M13.00S,2,1,MISS Curry 27' 3PT Jump Shot
0022401117,62,1,PT06M22.00S,1,1,Curry 4' Driving Finger Roll Layup (2 PTS)
0022401117,87,1,PT04M33.00S,1,1,Curry 4' Driving Floating Bank Jump Shot (4 PTS) (Santos 1 AST)
0022401117,98,1,PT03M30.00S,2,1,MISS Curry 27' 3PT Step Back Jump Shot
0022401117,247,2,PT05M59.00S,2,1,MISS Curry 25' 3PT Step Back Bank Jump Shot
0022401117,251,2,PT05M21.00S,2,1,MISS Curry 7' Driving Finger Roll Layup
0022401117,261,2,PT04M25.00S,1,1,Curry 4' Driving Reverse Layup (6 PTS) (Santos 2 AST)
0022401117,294,2,PT02M33.00S,2,1,MISS Curry 4' Driving Layup
0022401117,313,2,PT01M48.00S,1,1,Curry 31' 3PT Pullup Jump Shot (10 PTS)
0022401117,326,2,PT00M45.90S,2,1,MISS Curry 6' Driving Floating Jump Shot
0022401117,343,2,PT00M09.60S,2,1,MISS Curry 29' 3PT Step Back Jump Shot
